krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
175,4.6387,179,2.0666,180,1.0668,178,1.3269
4,2.2902,180,0.6344,180,0.6605,175,2.589
179,1.8197,180,1.2348,180,0.6579,166,1.4234
4,2.6016,177,1.8231,180,0.7287,124,1.7354
171,5.0276,180,1.9083,179,0.7138,158,2.8129
43,1.7235,150,0.6048,179,0.5775,180,1.999
9,6.4682,180,1.3183,180,1.1592,132,1.9206
177,2.4911,180,3.2682,180,0.5432,172,2.4782
179,3.3634,178,1.6011,159,0.5958,169,1.27
10,2.0836,180,1.2393,180,0.5525,135,2.7478
179,4.5778,168,0.9423,178,0.4895,157,1.4394
173,4.9829,176,2.0734,174,0.6342,174,2.4336
179,4.0685,177,1.3869,180,0.5996,172,1.2244
42,2.7719,174,0.6029,180,0.9192,170,1.3053
176,3.3708,177,2.3974,161,0.5281,175,0.9885
10,1.4444,170,1.1136,168,0.4841,177,1.6982
76,4.3775,180,1.7482,174,0.3822,180,0.8518
170,6.1042,178,2.3006,178,0.3717,171,1.2383
73,2.6175,169,2.1731,180,0.2895,158,1.7078
24,2.5921,180,0.9245,180,1.0136,177,1.168
123,1.4935,174,0.9656,180,0.4202,170,1.1953
180,1.912,180,2.358,168,0.1908,179,0.994
176,1.3874,166,1.519,179,0.8013,153,1.1386
180,1.7537,180,0.4092,180,0.4915,164,0.9086
160,6.5364,177,2.8955,180,0.7346,176,1.0778
43,1.9564,180,1.0647,178,0.372,176,0.9065
5,1.3661,176,1.4633,180,0.3745,179,0.8112
0,0,179,1.0557,171,0.3697,175,0.7902
143,1.663,150,0.7126,178,0.1762,169,1.2909
51,1.9997,171,1.0858,148,1.7238,180,0.8287
174,3.7782,179,2.4667,177,3.278,165,1.5745
7,1.5609,174,1.014,123,1.7415,129,1.0555
153,2.7096,174,1.1724,177,1.4847,176,0.8263
43,5.8866,180,1.5992,180,1.6646,180,0.7768
134,4.4094,177,1.8522,172,1.6434,153,1.555
176,1.8934,170,2.0237,179,0.8978,174,1.7439
7,3.1801,179,1.5851,180,1.0461,180,0.7273
128,6.5232,178,1.3303,179,1.1217,165,0.8059
156,4.3159,176,1.6126,180,1.1569,178,0.8043
8,1.418,177,0.4075,176,0.8903,167,0.8002
163,2.3836,178,1.7542,179,0.9358,166,0.9142
57,2.9735,156,0.8778,176,0.9232,180,0.8199
144,6.1699,180,1.8615,176,1.0358,155,0.9935
158,4.7237,173,2.7249,175,1.401,120,0.7749
0,0,178,2.1396,179,1.3129,159,0.859
143,2.6081,178,1.6106,177,0.985,178,0.6116
175,5.7915,171,0.793,180,0.8995,178,0.7385
180,1.8868,178,0.5023,151,0.8172,171,0.4907
81,2.324,174,1.0514,146,1.0004,118,0.7739
153,4.2482,175,0.583,179,1.3359,177,0.8086
180,5.9554,173,1.5672,174,0.8464,175,0.6136
176,1.6692,177,1.2049,180,0.8016,150,0.5988
180,4.4438,173,0.3833,177,0.8151,174,0.5999
147,4.7039,177,0.5189,179,1.1582,164,1.1056
165,1.7323,177,1.4978,180,0.8842,150,0.6361
118,2.9105,156,0.8658,178,0.7636,177,0.8755
180,3.5914,178,1.7407,180,0.8805,179,0.5952
162,3.7853,180,0.4604,179,1.266,173,0.6175
169,6.356,178,1.0259,176,1.4926,180,0.7091
179,4.1945,178,2.0872,157,0.6717,156,0.559
170,3.6211,174,1.6893,180,1.107,178,1.2127
179,2.4436,180,0.9861,180,0.8215,152,1.35
163,1.9426,175,1.5345,179,0.9418,172,0.5917
132,3.6249,176,1.9852,100,0.7909,121,0.9982
180,2.8804,177,1.087,180,0.6229,178,0.5663
121,4.2442,176,0.3244,179,0.7239,147,0.5005
83,5.8422,167,0.3278,180,1.2768,151,0.4693
152,4.6092,172,0.6921,180,0.8721,105,0.7934
9,4.2127,180,2.147,180,0.5226,176,0.7454
103,3.1676,175,2.1584,158,0.4252,175,0.581
9,3.5707,180,3.4378,180,0.5308,159,0.6318
179,1.5306,160,0.4623,178,0.5091,161,0.9413
172,2.639,180,2.3231,180,0.6724,160,0.5325
8,3.6031,179,2.819,180,0.469,121,1.3798
166,2.5596,179,1.3961,167,0.4016,147,0.6296
1,1.6961,178,2.0247,177,0.6149,175,0.3698
168,2.1849,180,2.801,178,0.4853,178,0.5166
7,1.6911,177,0.3879,178,0.342,179,0.43
112,2.6326,179,0.3336,100,0.4456,174,0.3621
177,2.8023,178,1.0599,175,0.3846,177,0.4069
118,4.4094,179,1.4254,113,1.4063,143,0.3363
129,2.8742,177,1.8999,171,2.5832,124,0.3269
0,0,176,1.4016,180,1.4172,179,0.6273
166,3.769,179,0.6165,169,1.3542,133,0.7568
163,2.3942,179,0.2877,177,1.5763,178,0.2755
180,1.8083,179,0.5361,148,1.1742,178,1.2965
178,4.3404,179,1.9521,145,1.7032,180,0.7995
1,0.268,172,2.4885,179,0.243,177,0.2793
174,2.4187,176,0.4723,180,0.9103,154,0.3805
179,2.3353,178,2.6342,180,0.6046,160,0.2998
97,2.8409,172,0.7527,176,0.4983,177,0.2685
170,3.6783,179,1.4731,180,0.3387,153,0.2482
175,2.5068,180,2.4112,180,0.4015,174,0.2468
159,2.1027,179,0.9439,180,0.311,167,0.37
179,1.9037,179,1.5073,180,0.3656,168,0.4585
145,6.7763,176,2.6148,180,1.145,149,0.2558
0,0,163,1.216,177,0.3288,173,0.796
180,3.9712,163,1.4717,175,0.423,180,0.2416
21,2.7656,179,2.5659,180,0.2591,176,0.3692
180,1.6391,177,2.178,179,0.3243,178,0.1965
176,3.9602,174,1.3635,180,0.3007,170,0.2375
37,3.3063,180,0.9882,180,0.2859,156,0.2257
177,4.418,180,1.1809,180,0.2549,160,0.2509
1,1.7785,175,2.1519,180,0.2221,175,0.2749
164,1.8218,178,1.5907,180,0.2802,144,0.4484
144,8.5617,180,1.2049,176,0.304,134,0.5989
148,1.8946,176,1.5572,178,0.3419,176,0.2496
179,1.7162,172,0.9699,178,0.3153,158,0.2639
178,1.7022,178,2.0141,167,0.453,178,0.2518
10,1.5214,180,1.3959,180,0.2939,178,0.2813
176,2.9389,180,1.7641,176,0.2432,153,0.2445
175,1.6985,175,1.2155,179,0.2575,151,0.3209
17,2.9734,170,0.9449,178,0.2334,176,0.5257
126,1.593,175,0.457,178,0.2079,178,0.2835
180,3.534,180,0.5886,179,0.466,170,0.2373
166,2.0915,180,1.2215,179,0.2139,140,0.2475
142,2.1861,180,1.5981,180,0.2318,171,0.2403
48,3.3211,179,2.0729,168,0.2391,164,1.8543
63,3.2488,168,0.9059,178,0.2708,180,0.3881
175,6.0762,178,1.965,180,0.2534,179,0.6351
148,2.762,179,2.3099,180,0.563,173,0.2669
164,3.4771,178,0.9288,176,0.2357,179,0.3463
180,3.492,179,1.3214,176,0.3419,155,0.3776
171,1.7352,168,1.5588,176,0.3957,175,0.2184
166,3.2965,179,1.0426,152,0.2277,177,1.0898
0,0,160,0.8154,180,0.2107,176,0.283
109,4.1948,173,1.7512,163,0.2217,178,0.5216
1,3.353,178,0.479,178,0.3873,180,0.2824
143,4.922,175,1.6146,180,0.2587,180,0.2926
95,2.4753,168,0.4521,180,0.2319,174,0.3776
174,2.0975,180,1.6936,178,0.2429,174,0.3709
180,2.8174,175,1.7611,178,0.3296,171,0.4224
10,2.0208,159,0.4342,175,0.3215,174,0.2457
158,1.9421,180,0.6903,175,0.3852,179,0.4628
10,2.5296,175,2.7968,178,0.4127,156,0.8143
165,3.9849,179,1.9138,175,1.3577,145,0.3212
50,3.6274,177,2.088,180,1.0109,166,0.5484
178,2.322,177,1.3557,179,0.9422,171,0.3842
179,1.5295,164,0.4629,180,1.0669,171,0.4073
0,0,176,1.8628,179,1.8202,177,0.3513
178,1.6393,179,2.2286,180,1.6973,167,0.307
164,3.9183,165,1.508,180,0.7567,154,0.2972
176,3.1239,,,179,1.1548,174,0.6036
7,4.5039,,,,,179,0.2487
171,2.7782,,,,,166,0.3625
51,3.2307,,,,,95,0.4272
168,1.728,,,,,179,0.3398
66,16.2957,,,,,154,0.4447
4,1.9238,,,,,136,0.1985
154,2.1753,,,,,179,0.3105
180,1.8299,,,,,142,0.4761
165,2.2004,,,,,,
34,2.6805,,,,,,
180,1.469,,,,,,
179,1.5812,,,,,,
2,1.6557,,,,,,
180,1.3174,,,,,,
168,3.5088,,,,,,
174,3.31,,,,,,
6,0.6945,,,,,,
179,1.9009,,,,,,
70,6.5942,,,,,,
150,2.5874,,,,,,
93,5.1248,,,,,,
173,1.8476,,,,,,
3,3.4918,,,,,,
178,3.371,,,,,,
10,3.4959,,,,,,
137,4.3071,,,,,,
54,1.7725,,,,,,
44,3.2179,,,,,,
38,4.9846,,,,,,
166,1.5318,,,,,,
8,4.965,,,,,,
171,2.9119,,,,,,
178,1.6337,,,,,,
127,2.3534,,,,,,
1,1.0878,,,,,,
163,2.9428,,,,,,
6,1.3099,,,,,,
175,2.4051,,,,,,
0,0,,,,,,
174,2.6805,,,,,,
143,2.2707,,,,,,
59,2.4953,,,,,,
5,0.6353,,,,,,
82,3.2026,,,,,,
15,12.9024,,,,,,
162,1.8527,,,,,,
164,6.393,,,,,,
28,8.8122,,,,,,
40,5.559,,,,,,
180,3.5629,,,,,,
9,1.6325,,,,,,
177,3.4149,,,,,,
11,9.9254,,,,,,
180,1.4948,,,,,,
143,2.4136,,,,,,
99,2.679,,,,,,
147,3.9869,,,,,,
146,4.3263,,,,,,
0,0,,,,,,
153,2.5148,,,,,,
167,1.6521,,,,,,
12,1.802,,,,,,
129,2.5023,,,,,,
177,2.401,,,,,,
69,3.2518,,,,,,
180,2.2223,,,,,,
175,1.9645,,,,,,
149,1.5893,,,,,,
4,2.3113,,,,,,
175,5.61,,,,,,
0,0,,,,,,
156,2.652,,,,,,
136,1.8892,,,,,,
65,2.4266,,,,,,
