krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
127,6.3108,148,1.1343,180,0.9355,173,1.497
140,3.693,165,2.7854,179,0.6897,129,3.8642
41,6.2892,134,1.8784,179,0.7356,162,1.5031
180,2.1599,159,1.1586,178,0.7477,173,1.5961
180,2.081,175,1.8055,180,0.868,177,2.2513
7,1.2523,162,1.7804,179,1.0699,173,1.8407
171,2.5535,132,1.6513,180,1.0092,165,2.0411
180,4.8252,178,1.782,180,0.8082,158,1.3428
132,3.241,102,1.0102,180,1.0016,162,2.1347
74,6.6883,170,1.8601,180,0.771,177,1.8786
178,2.8064,164,0.8693,180,1.3703,157,1.438
178,3.4238,106,1.2318,180,0.6775,175,1.8233
170,4.0987,171,2.5837,180,0.5854,176,1.2397
171,1.6893,164,1.2433,180,0.9093,180,1.0099
169,2.311,159,1.4213,179,0.6219,149,1.2131
43,6.3676,158,0.8946,179,0.5934,166,1.3628
179,2.0274,180,3.6425,180,0.5534,180,1.1494
180,1.404,150,1.1476,174,0.5333,149,1.7122
12,2.6446,121,1.4,180,0.3781,179,0.953
180,2.5522,102,1.2907,180,0.6779,165,1.4714
5,3.7839,164,1.7375,177,0.4928,167,2.6806
172,4.712,178,1.6779,179,0.3049,153,1.4432
142,5.3676,125,1.8289,178,0.355,126,1.1183
180,5.3976,167,2.5617,178,0.3553,179,0.8879
86,4.0181,180,1.332,180,0.6618,173,0.9982
180,4.1291,107,2.1491,177,0.5367,179,0.8634
5,3.1681,161,1.5969,178,0.5416,180,0.8864
180,3.7902,94,2.7959,170,0.3256,179,0.9015
59,1.8431,159,2.0177,179,0.6371,162,1.2797
178,1.4277,157,2.2574,180,1.006,155,1.066
178,4.0563,137,1.283,169,0.2182,141,0.8919
31,8.2177,159,1.1404,176,2.3851,169,0.7281
141,1.6431,174,1.3708,178,1.4469,158,0.8374
176,2.738,151,1.8816,175,1.549,175,0.6262
179,2.7014,178,2.4654,179,3.0081,174,0.8622
174,1.8693,147,2.1123,68,2.923,180,0.8268
64,2.8429,136,1.2015,171,0.9518,178,0.9785
180,3.126,134,1.4257,137,1.0997,179,0.5176
158,1.8856,132,2.0675,149,0.9185,180,0.5549
177,7.2973,134,1.0023,176,1.5981,175,1.0
131,2.3195,179,2.6275,144,1.2416,171,0.6856
177,4.8736,174,1.9925,178,2.0203,178,0.5606
177,3.5246,170,1.0376,166,0.9481,170,0.9225
180,3.5812,174,1.6966,180,1.1152,176,0.6882
173,4.3827,115,1.048,180,1.1746,178,0.6808
152,6.5565,159,1.6407,178,0.7892,166,1.198
8,2.5298,167,2.1921,179,0.7208,143,0.575
177,3.6311,115,0.9754,179,0.5789,175,1.235
162,2.385,179,1.5934,179,0.4751,148,1.8152
106,3.1355,164,2.3296,180,0.586,179,0.8215
179,2.0146,167,1.5071,180,0.6192,104,0.6666
80,3.403,134,1.7698,179,0.5286,174,0.6058
10,8.607,135,1.7206,180,0.5555,157,1.0871
49,3.189,163,2.6535,177,0.4964,176,0.5201
179,5.7942,172,1.878,177,0.5082,148,2.0335
162,6.5322,124,1.746,179,0.5787,179,0.5377
145,5.9444,172,1.9688,143,0.5026,176,1.2494
71,3.938,139,1.4296,146,0.5711,159,0.6045
140,2.5074,177,1.5568,97,0.4751,162,0.4744
162,2.6437,180,1.8093,177,1.0606,124,0.5698
0,0,127,2.7321,180,1.1218,180,0.6128
61,2.8543,180,1.7097,179,0.9968,180,0.6617
86,1.9064,150,1.9511,180,1.389,110,0.5095
179,2.3309,163,2.8384,177,1.3185,177,0.5878
3,3.581,169,1.7818,169,1.3255,166,0.4221
173,2.1511,179,1.0024,167,0.8675,167,0.3823
70,1.7847,74,2.7929,179,1.9152,163,0.8755
162,2.9398,144,1.9703,96,1.3536,163,0.5228
180,3.2018,167,1.1758,173,0.8497,178,0.4252
178,2.5445,177,2.9072,167,1.01,179,0.3108
10,2.7332,92,1.3721,175,0.4315,180,0.2837
177,4.0124,178,1.6807,179,0.9531,175,0.4693
3,0.6987,149,1.1886,178,0.2435,179,0.2928
173,1.817,163,1.4661,179,0.9282,177,0.2732
173,6.6082,178,1.7372,180,0.3993,180,0.2828
10,1.2633,142,2.0289,180,0.539,150,0.8349
174,8.2097,163,1.5924,180,0.3492,176,0.5642
179,1.7334,180,1.5925,144,0.4192,180,0.3253
171,1.5172,77,0.9892,180,0.483,180,0.2284
4,1.7516,124,1.7268,180,0.4553,180,0.2329
157,2.574,176,1.4668,178,0.3339,180,0.7501
