krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
177,3.6684,169,1.1652,175,0.6632,114,3.72
173,2.5568,166,1.2147,176,0.6922,175,3.1622
174,4.2228,179,2.1097,178,0.6728,175,2.0726
55,2.1815,131,1.2691,180,0.6044,179,1.5524
145,2.2492,170,1.3865,180,0.8233,179,2.423
179,5.1536,120,1.1723,180,0.8574,169,1.314
180,3.9471,179,0.7514,180,0.543,176,2.0447
148,1.7489,125,1.7713,178,0.843,179,1.7232
177,3.3171,113,1.7185,180,0.5639,178,0.9975
175,3.2834,174,3.864,175,0.6354,180,0.9982
177,3.8174,120,1.1606,178,0.6313,140,0.3257
180,3.6177,174,1.183,179,0.7024,172,1.2197
139,2.9648,148,3.9304,171,0.5179,170,0.9223
175,3.265,152,2.0735,163,0.6075,160,0.8782
138,3.5653,180,3.0144,180,0.7461,164,1.3581
153,1.7378,173,1.2606,180,1.3334,172,1.4052
2,2.4274,154,1.1158,153,0.5821,180,1.321
177,2.5797,175,1.7175,180,1.2253,178,1.2539
10,3.039,175,1.5637,179,0.9247,165,1.0236
161,4.9846,174,1.0858,180,0.6588,171,2.1147
80,1.8987,160,1.8389,178,0.3419,169,1.5328
179,8.5121,177,1.7095,180,0.9223,133,1.2634
69,13.1588,172,1.9841,180,0.3976,175,0.7017
180,1.5238,129,1.3051,180,0.317,179,0.8821
152,3.7664,155,1.1923,180,0.5714,175,1.0105
180,6.7316,171,1.916,180,0.4146,178,1.6226
177,2.8331,179,1.3034,180,0.4324,177,1.3878
149,4.2991,169,2.182,180,0.2633,167,0.8583
180,1.8985,154,1.9877,180,0.3471,113,0.9677
28,2.3092,174,0.8313,177,0.2729,180,0.8861
178,4.3119,154,2.6885,180,0.5151,169,0.8021
178,2.5278,166,2.4687,180,0.3469,127,0.7629
164,2.5966,179,1.9513,179,0.2511,171,0.6915
177,2.8814,173,1.3323,180,0.3395,160,0.753
2,3.6199,130,1.2688,180,0.259,167,1.1217
180,2.1921,164,1.3538,180,0.2185,163,0.7425
129,2.9575,135,1.2347,180,0.2211,179,0.8747
179,2.164,142,1.9274,180,0.2321,175,0.7552
170,1.8503,132,1.054,179,0.3307,103,1.0684
6,0.0,175,1.517,180,0.2659,180,0.6757
179,2.8654,148,1.6242,180,0.2468,137,1.0701
9,0.926,177,1.185,180,0.1976,157,0.8466
177,2.4892,93,1.475,180,0.2997,180,0.5938
14,1.2622,148,1.2289,179,0.3589,161,1.1888
156,5.5415,173,1.6642,180,0.1782,146,1.4412
10,1.0197,166,1.2902,178,0.2345,134,0.7128
178,1.6828,103,2.2354,180,0.1939,151,0.5818
48,10.3781,148,1.3686,180,0.3306,170,1.1505
179,3.6825,149,1.5336,176,0.2126,169,1.2574
180,2.5726,174,0.9397,178,0.2842,169,0.6696
163,3.3754,160,1.0075,180,0.5683,137,0.7002
152,4.623,178,1.521,180,0.4588,154,1.0952
63,5.2331,171,1.4456,180,0.3354,161,0.4984
178,1.9479,165,2.0501,180,0.3891,178,0.6093
138,2.9264,149,1.5748,180,0.2434,173,0.5242
6,1.5883,150,1.5486,180,0.7212,124,0.5523
174,3.0869,180,2.2576,179,0.4294,143,0.9812
3,3.4772,170,1.5924,180,0.4857,156,0.5878
154,6.2349,179,1.9609,177,0.4175,179,0.5316
176,5.4855,175,1.1775,179,0.4287,145,1.2772
151,7.836,165,1.3536,178,0.2827,177,0.426
101,4.0861,164,1.433,169,0.3385,173,0.2947
170,1.7616,173,1.7177,179,0.2721,179,0.4176
4,1.4158,155,1.7252,172,0.431,154,0.6698
177,1.9127,176,2.0729,121,2.248,172,0.7242
173,2.3731,180,1.5842,177,1.7161,168,1.6654
3,0.9781,173,2.0017,179,2.4776,179,0.3881
142,2.5861,171,1.1231,180,3.0325,178,0.3608
167,3.4351,175,1.2132,179,2.0139,179,0.5817
20,2.6259,167,1.445,179,0.9954,180,0.421
84,2.2227,180,1.307,180,1.2601,180,0.6969
135,3.4474,177,1.4977,180,1.2162,180,0.4186
45,3.3706,135,1.2289,180,0.9512,144,0.8392
177,4.3652,174,1.5319,177,1.0516,180,0.2949
180,2.0651,178,1.4718,180,0.9226,179,0.2069
176,1.9917,150,0.929,177,1.1279,142,0.3625
170,4.0695,177,1.4332,147,0.8312,173,0.3953
141,2.3003,163,0.9104,180,1.0119,158,0.6553
178,2.4819,127,2.073,167,0.9653,172,0.7868
167,4.9991,161,1.7194,153,1.0934,177,0.2029
179,2.8764,152,1.8924,180,0.496,178,0.4738
168,3.8005,163,1.414,102,0.2112,123,0.6945
2,3.7029,178,1.0988,180,0.3942,176,0.2686
179,2.3117,180,1.2185,180,0.5764,167,0.2642
175,1.9564,164,3.2937,180,0.631,124,0.3808
180,3.2793,175,3.0427,179,0.563,180,0.5349
10,1.6987,166,1.4816,179,0.4735,180,0.24
79,5.0316,140,1.426,158,0.703,136,0.5804
145,1.9767,171,1.2825,180,0.6907,178,0.3393
76,4.2388,178,1.7473,179,0.3023,180,0.2951
61,2.8756,145,1.7019,177,0.7906,171,0.3094
175,7.0181,156,1.697,180,0.468,173,0.2642
166,4.6233,179,1.4228,179,0.5265,172,0.3497
36,2.7257,175,1.5009,174,1.9319,130,0.2908
40,3.2093,177,0.8619,40,3.868,180,0.2082
160,2.1655,168,1.1883,152,1.7372,162,0.2046
3,0.9295,97,1.3753,180,1.8152,177,0.23
135,1.5375,158,1.9125,180,1.3839,173,1.0031
2,3.0848,59,1.6084,179,0.9834,179,0.3485
179,4.4407,170,3.4112,180,1.3355,177,0.3048
64,8.1797,170,1.0798,179,0.9136,155,0.206
48,2.4155,177,1.2701,175,1.259,180,0.4243
73,3.0951,132,0.9322,179,0.8195,174,0.6026
90,4.5079,67,1.3056,180,1.512,153,0.4373
85,2.7522,149,1.5802,178,0.8553,179,0.2321
179,1.6846,173,4.1894,178,0.8389,173,0.6449
160,7.0755,173,3.3998,180,1.1912,178,0.4461
175,1.701,146,1.3049,173,0.7248,179,0.2204
180,1.6919,146,1.0922,177,0.7071,179,0.3132
178,1.7236,177,1.8695,114,0.8113,180,0.3017
124,4.947,178,1.1366,174,0.6324,180,0.2657
167,2.3191,150,1.7146,179,1.0654,180,0.3322
142,2.3362,174,0.7635,175,1.1316,179,0.5279
4,1.0042,180,1.3793,167,0.7264,179,0.4292
63,6.0295,83,1.4874,70,1.5716,175,0.6091
171,1.9589,158,1.3443,180,1.7516,179,0.404
156,2.3948,153,1.2998,171,1.1983,174,0.2402
104,2.4336,129,1.9013,178,1.4782,166,0.5058
111,3.0942,168,1.1026,,,173,0.3418
47,9.0057,180,0.9933,,,134,0.4294
177,4.3569,176,1.3673,,,175,0.378
155,2.9446,180,1.1023,,,180,0.2737
177,1.9538,179,1.2708,,,179,0.4436
164,2.3716,173,1.5462,,,,
7,1.4734,155,1.5956,,,,
177,3.2463,107,1.305,,,,
7,2.0442,173,1.2229,,,,
49,1.9976,176,1.3231,,,,
5,0.9245,112,1.4977,,,,
168,1.5755,,,,,,
178,2.3055,,,,,,
2,3.9767,,,,,,
156,2.6239,,,,,,
33,3.6206,,,,,,
137,1.9229,,,,,,
171,2.0294,,,,,,
163,1.4968,,,,,,
35,2.651,,,,,,
105,2.8094,,,,,,
78,3.0881,,,,,,
180,3.3033,,,,,,
46,4.8381,,,,,,
52,5.1489,,,,,,
176,2.5979,,,,,,
141,2.023,,,,,,
169,1.6206,,,,,,
179,2.0081,,,,,,
142,6.9572,,,,,,
6,2.0557,,,,,,
167,1.6245,,,,,,
127,6.2847,,,,,,
4,1.5957,,,,,,
180,2.4245,,,,,,
175,3.0192,,,,,,
36,3.5912,,,,,,
179,2.5441,,,,,,
0,0,,,,,,
36,3.1323,,,,,,
94,2.5337,,,,,,
136,6.4835,,,,,,
3,3.3647,,,,,,
31,2.2303,,,,,,
50,2.3871,,,,,,
174,6.1906,,,,,,
180,2.3868,,,,,,
166,1.4277,,,,,,
141,1.9937,,,,,,
37,2.3542,,,,,,
147,1.9081,,,,,,
159,1.8195,,,,,,
