krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
150,2.4148,178,0.9338,180,1.5853,150,2.1353
179,8.361,164,0.6182,180,0.7559,180,2.0444
38,8.4885,145,0.6027,180,0.5816,158,2.5475
140,4.5528,180,1.0625,180,0.3371,178,1.7332
1,2.9937,164,0.3551,180,0.512,177,1.5113
180,4.3829,176,0.8945,180,0.5013,176,1.213
137,1.8196,152,0.8605,180,0.3956,172,1.4857
178,2.5156,176,0.3946,180,0.3946,175,1.7847
1,2.5058,174,0.4243,180,0.3287,162,1.2829
167,2.5228,179,0.8458,180,0.4383,178,1.085
46,2.15,180,1.1463,180,0.2785,143,1.6625
142,3.2902,171,0.367,180,0.4362,180,1.1319
9,2.8341,176,1.1865,180,0.3779,177,1.0476
173,3.4483,177,0.7626,180,0.2351,175,1.1449
179,2.1214,161,3.0612,180,0.3927,175,1.3425
174,1.7848,178,1.4804,180,0.5024,179,0.7896
9,1.6216,173,0.7968,179,0.2045,146,1.4398
180,2.286,176,0.3094,180,0.2831,178,1.0997
37,5.4109,178,1.8135,180,0.2888,173,1.1252
164,4.5495,178,0.4625,180,0.2625,171,0.7957
69,5.9144,175,1.052,180,0.2337,176,0.9855
55,5.8266,170,0.309,179,0.4496,176,1.2595
87,4.8701,177,1.009,180,0.2521,178,2.2187
101,5.6482,175,1.7763,180,0.1992,140,1.0873
180,3.5528,152,0.4807,176,0.3181,171,1.0245
174,3.3584,176,1.724,180,0.2729,178,1.0856
142,3.0416,177,0.3431,179,0.264,156,0.8839
180,1.7939,179,1.7563,180,0.2636,114,2.8242
85,2.6547,161,0.947,180,0.2352,122,1.402
29,3.0871,173,0.9983,180,0.1947,175,0.8261
164,2.7757,180,0.8343,180,0.2206,161,0.7475
173,3.1575,178,1.0807,179,0.2129,178,1.254
54,4.7738,179,2.2684,180,0.3094,175,3.3738
178,5.7302,179,0.8901,180,0.2746,177,1.2602
180,6.09,180,0.86,178,0.2546,167,0.7883
147,1.7559,179,1.4769,163,0.3594,133,1.0005
42,2.6555,171,1.2673,180,0.307,101,0.8222
171,7.3299,172,1.2194,180,0.4132,160,1.0389
9,4.3091,154,0.9691,171,0.2351,156,0.8384
178,6.3192,176,0.3772,180,0.294,179,0.9705
175,2.5489,176,1.066,173,0.4106,167,0.5106
125,4.1738,163,2.2268,180,0.2547,176,0.7743
174,2.6414,171,1.8655,179,0.3324,129,0.68
89,2.4284,177,1.4851,169,0.377,174,1.1365
166,1.7569,164,0.562,180,0.3118,180,0.8259
177,7.0646,180,2.0555,179,0.2587,172,0.9283
176,1.8496,171,1.2129,176,0.2144,167,0.8301
172,3.6838,161,1.1247,180,1.6114,180,0.929
178,2.244,177,0.4773,180,0.7073,176,0.6048
6,1.3248,172,1.3331,180,0.7566,154,1.0076
143,4.6918,177,0.9059,179,0.9873,175,0.6547
180,2.3865,156,1.5202,179,0.7301,180,1.3092
