krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
175,6.1258,179,0.7735,180,0.7554,145,0.7316
165,1.6182,180,0.6271,179,1.1232,172,3.4629
8,2.4025,180,0.8653,178,1.0943,170,1.9133
180,8.4765,179,1.2441,178,0.8167,170,1.5477
16,6.8808,180,0.4609,180,0.9455,175,1.6077
180,4.0535,180,0.3258,180,0.942,162,2.3681
84,2.7635,180,0.723,180,2.3267,179,2.6407
178,6.7616,180,2.2079,178,1.1546,172,1.2644
39,2.7624,180,3.4038,178,0.6972,179,1.1746
134,3.5283,180,0.5495,180,0.9095,171,1.4365
179,1.876,178,2.3855,180,1.3737,179,1.6216
180,3.4889,178,2.637,178,0.7278,174,0.9164
21,6.0687,177,1.8752,179,0.544,166,1.7097
175,3.1416,179,3.5375,180,0.9696,177,1.1821
24,8.1594,180,3.2766,180,0.7641,164,1.1084
180,2.0777,180,0.5256,179,0.6645,149,1.1873
166,2.6549,180,2.2315,171,0.6148,172,1.295
180,7.2136,177,2.3163,180,0.9319,164,1.0975
180,1.8203,180,1.2729,178,0.695,164,1.3271
74,3.1883,180,0.8018,175,0.6805,179,1.53
177,2.6486,178,2.6975,172,0.685,151,2.0046
167,3.9966,169,1.0795,180,0.5914,178,0.9965
42,3.6924,180,0.6471,179,0.8294,176,1.0647
134,6.1541,180,1.8105,177,0.5846,180,0.9147
174,1.3614,180,1.7444,179,0.8185,178,2.0792
171,3.5719,180,0.9918,180,0.3845,177,0.9917
174,2.9494,180,1.302,180,0.3808,171,0.7816
179,1.9621,178,1.2663,180,0.3558,180,0.9017
42,1.6295,180,1.6485,176,0.3985,171,1.3464
176,6.9482,180,3.3159,180,0.5911,160,0.9939
174,3.5762,178,0.3126,179,0.487,178,0.9505
5,0.6382,180,1.8141,180,0.2668,180,0.8167
162,2.0697,180,2.5941,178,0.3767,171,0.7173
179,4.6923,180,0.6753,179,0.2077,179,1.4153
147,1.8003,179,2.1906,172,0.5119,176,1.0984
0,0,176,1.2599,160,0.2239,153,0.9143
151,1.5949,179,1.725,169,0.3419,180,0.8407
72,2.2404,173,3.0955,142,0.3455,165,0.7268
179,2.032,178,0.3956,180,1.0066,176,0.7445
178,5.5509,179,1.9733,172,0.5409,180,0.7396
2,0.8712,180,1.9363,180,1.558,149,0.6584
178,3.043,180,2.5291,148,1.3518,164,0.7068
180,3.5479,180,1.9505,176,1.3702,159,0.928
157,1.5988,179,2.0792,123,1.537,173,0.8746
158,2.9823,180,1.6095,180,2.0926,141,1.0714
66,3.5719,172,1.9673,102,1.477,180,0.8625
171,1.6743,177,0.4546,178,1.3369,139,0.9244
7,1.0008,180,2.2514,175,0.518,179,0.5056
167,4.7103,179,1.3224,180,0.5252,170,0.606
76,2.0081,179,2.238,180,0.5531,172,0.56
79,2.1267,180,2.91,180,0.8418,172,0.9235
131,3.3742,179,1.9276,180,1.1076,179,0.7612
143,3.0177,179,1.7377,180,0.512,178,0.927
43,1.559,179,1.4557,180,0.6656,165,0.5962
179,4.1285,180,0.7525,180,0.4707,155,0.8628
142,2.3881,180,0.4313,180,0.5229,179,0.9326
161,2.4328,179,0.5543,180,0.4873,174,0.6251
179,4.8153,179,1.0207,178,0.6675,175,0.5287
11,4.7674,180,0.4906,179,0.4765,178,0.6743
174,3.4448,179,2.8894,178,0.4748,162,0.5463
40,7.7253,179,3.259,148,0.3897,178,1.3682
163,1.9533,178,2.4775,180,0.5043,171,0.5191
174,5.8847,176,2.8021,178,0.7201,178,0.5163
2,0.6394,177,1.0709,176,0.4704,173,0.5916
179,4.6202,179,2.133,112,0.5543,180,1.0048
94,3.8901,180,2.5726,180,1.6142,177,0.4668
6,1.0924,179,0.6631,180,2.1821,180,0.9619
176,1.4061,178,1.1242,178,2.3315,167,0.8558
30,2.1048,180,1.0685,178,2.8273,177,0.2541
179,2.197,180,1.6018,176,1.4674,109,1.0451
180,1.9194,180,1.1892,180,1.2898,179,0.2812
0,0,179,1.4576,180,0.8623,178,0.5604
58,7.5758,180,1.1998,180,0.9125,176,0.4922
176,3.4318,180,1.9612,166,0.9543,179,0.6504
157,2.046,178,1.755,179,0.8363,151,0.4734
114,2.5577,180,1.5807,173,0.9778,180,0.4612
178,1.4631,177,1.7665,180,1.0815,176,0.4251
177,4.1177,177,1.0192,172,1.0224,178,0.4528
117,1.5734,178,0.8494,177,0.9548,180,0.3606
175,1.8319,177,2.6785,177,0.7537,172,1.4582
0,0,180,1.0627,179,0.3965,155,0.546
136,2.7642,177,1.1524,180,0.4583,105,0.5143
1,0.9476,174,1.5346,180,0.3038,162,0.2737
179,3.4089,178,3.5846,180,0.2276,180,0.2612
3,0.5462,173,0.3269,180,0.3387,178,0.3136
164,1.5927,179,1.5012,180,0.9485,179,0.3193
166,4.5486,180,2.4447,179,0.2612,173,0.4549
180,2.2619,180,0.6291,180,0.3537,160,0.2436
10,0.0118,180,3.3172,180,0.2435,179,0.2814
157,2.1846,178,1.1235,180,0.3,175,0.4866
6,3.4386,179,0.7987,179,0.2433,166,0.7852
179,2.7619,176,0.8614,179,0.2579,137,0.6592
158,2.4086,177,2.8458,180,0.3946,159,0.2958
180,3.0753,175,0.352,180,0.2502,180,0.2337
130,2.2932,177,0.8329,178,0.3293,164,0.9892
