krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
154,7.5658,179,1.5643,179,1.3331,176,1.3208
34,4.3519,179,1.8565,165,0.4599,144,3.1777
176,1.8592,179,2.1653,180,0.5422,173,2.6832
10,1.0787,177,1.4865,178,0.464,179,1.519
176,5.3121,178,1.0828,180,0.5429,171,1.496
128,2.1849,180,0.6637,179,0.689,180,1.8211
7,0.1904,177,0.2405,179,0.6514,166,1.6597
176,7.4489,178,2.4693,179,0.6754,138,2.2813
180,4.4806,178,0.7111,180,0.4403,150,1.7266
180,1.307,180,1.7419,125,0.6201,168,3.5837
163,2.2468,178,1.2844,177,0.7531,158,1.6188
178,3.8367,180,1.171,173,0.5481,172,1.2174
2,0.6459,180,1.0794,175,0.4279,180,1.1909
174,1.3603,176,1.079,145,0.4275,180,1.1147
176,5.8315,179,0.5107,155,0.4331,150,1.4178
180,2.0917,173,0.8425,175,1.8061,175,1.0996
160,4.4356,177,1.5573,179,3.402,173,0.8103
178,2.4401,162,1.7304,180,1.4556,136,1.0607
180,3.2997,177,1.6132,179,1.8904,171,1.1574
178,2.8435,169,1.3303,179,1.7125,156,1.329
1,1.1718,178,0.9672,174,1.4629,160,1.6062
131,5.8469,180,0.8136,36,6.6619,174,1.3013
174,1.6148,177,0.627,171,0.415,180,1.3412
168,2.2049,180,1.7639,180,1.404,176,1.024
180,3.5492,178,0.7066,180,0.7394,159,0.8436
64,1.9661,180,0.8824,180,0.558,154,0.9496
174,2.0105,176,0.6004,180,0.3323,180,1.5133
173,1.3205,176,0.7995,180,0.5234,179,1.1429
176,1.3931,178,2.6974,180,0.4271,177,0.9917
180,3.0402,165,0.9195,180,0.3726,148,0.9762
7,0.9737,180,2.0489,180,0.3364,180,0.8273
170,4.129,180,2.7553,179,0.4035,179,0.8979
130,6.0797,180,1.2693,180,0.2358,151,2.0481
