krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
157,5.4282,180,0.8181,180,1.0573,155,0.3785
180,1.5569,155,0.3337,180,0.3023,165,3.5014
0,0,171,0.7859,180,0.2734,162,1.8344
57,3.5375,103,0.4931,180,0.3159,128,1.9764
178,3.1599,177,0.666,180,0.2585,176,2.6867
154,4.5034,136,0.4387,180,0.2933,146,1.6831
0,0,155,0.3167,180,0.3404,168,2.1141
170,2.4436,177,0.8874,180,0.2886,114,2.8981
77,2.6984,180,1.1121,179,0.4144,176,1.5032
4,1.6789,170,1.2028,179,0.3411,169,1.8372
179,2.3694,178,1.6141,179,0.3268,118,1.8277
81,3.3809,173,0.7884,180,0.2883,159,1.866
173,1.5153,157,1.654,180,0.6413,178,2.1214
150,2.1232,176,0.5937,180,0.3893,175,1.0957
175,5.1182,130,1.4117,180,0.3873,162,1.4796
172,1.6977,161,0.2516,180,0.3007,179,1.1055
23,4.7588,176,0.244,180,0.4801,178,0.9618
146,3.3644,174,0.3328,180,0.374,180,1.0472
175,3.6079,180,0.2982,180,0.2875,177,1.2708
179,4.4045,173,0.3432,180,0.2674,167,1.2144
71,6.2615,179,0.2394,180,0.3209,94,2.219
49,2.267,174,0.7223,180,0.3009,179,1.2653
153,5.7657,152,0.8728,180,0.3404,165,1.0413
45,7.8123,176,1.251,180,0.2533,170,1.0776
68,1.9688,173,1.8491,180,0.2509,166,1.0039
169,4.5073,178,0.8647,180,0.2461,155,1.0395
173,2.1998,159,1.1581,180,0.2839,162,1.0859
179,2.159,170,3.3838,180,0.3103,180,1.0735
157,5.8997,109,0.7714,179,0.264,180,1.0374
102,2.6018,126,0.4884,180,0.2732,176,0.7983
177,5.3933,159,0.5926,180,0.2242,114,0.9288
1,1.9228,180,0.5151,180,0.2743,176,1.0657
173,4.1304,162,0.3498,180,0.2697,149,1.919
63,2.3802,179,1.1811,180,0.1985,180,0.8515
180,3.806,179,0.702,180,0.3036,140,1.3354
175,3.421,155,0.3685,180,0.2197,175,0.9672
149,1.9161,180,0.6488,180,0.2667,175,1.4028
70,1.8268,127,0.3923,180,0.2505,179,0.8566
173,1.6518,173,0.5267,180,0.2723,176,0.6296
148,1.6926,179,0.2727,180,0.2664,130,1.0814
164,2.4638,180,1.5302,178,0.19,171,0.7607
167,2.0212,177,0.3672,180,0.2442,178,0.738
162,2.3458,178,0.4767,180,0.1791,178,0.696
137,6.6447,140,1.0386,180,0.2556,180,0.9228
10,1.8359,178,0.9624,180,0.2911,179,0.7398
174,2.9092,147,0.3559,180,0.367,180,1.0588
5,0.7542,172,1.0383,179,0.5266,136,0.8665
159,2.5686,179,0.45,180,0.9382,158,1.061
0,0,144,0.511,180,1.2479,166,0.8431
122,4.8954,172,0.4354,179,0.5794,173,0.8745
