krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
177,7.1712,176,1.2813,180,0.4194,151,0.3596
175,5.2458,179,1.0003,177,1.4611,170,3.3492
161,1.7675,164,1.493,177,0.9544,167,2.4111
162,1.9329,171,2.4489,180,0.4968,179,1.3453
147,3.4294,180,1.4634,179,0.5622,148,1.779
133,5.7094,175,1.1193,180,0.3631,180,1.45
177,1.5832,174,0.4099,180,0.4183,167,2.6217
180,3.6845,180,0.8948,180,0.4736,138,1.9079
91,4.2841,174,1.2765,180,0.4139,157,2.0404
46,5.01,160,1.2275,180,0.2689,179,2.032
176,3.5149,164,0.3874,179,0.3064,145,1.3974
134,3.3142,159,0.3194,180,0.5557,169,1.9484
178,2.1207,145,0.9988,177,0.2891,154,1.2345
180,3.238,179,0.4402,179,0.2675,178,1.1911
0,0,179,0.9965,179,0.2424,172,2.0034
50,2.312,175,1.0483,180,0.3508,168,1.6208
109,2.6801,180,1.7968,180,0.2631,180,1.1617
131,3.715,180,0.3091,180,0.3162,170,1.2391
167,2.6042,161,0.8866,177,0.2628,173,1.0037
129,2.3485,177,0.277,179,0.33,179,0.7541
157,5.2015,176,0.3517,179,0.333,180,1.5056
164,4.189,169,1.1774,180,0.2525,180,1.1052
180,1.3949,179,0.8618,180,0.2835,177,1.4701
180,6.9662,165,0.5932,179,0.2771,170,0.9666
1,0.5249,180,0.9216,178,0.2698,175,0.9522
180,3.8657,179,1.8086,168,0.2884,179,0.9766
180,3.6476,174,1.1082,180,0.2473,180,1.1737
95,3.1698,179,2.5658,180,0.3127,135,1.0787
1,3.1689,178,1.2046,180,0.3168,177,0.8724
179,2.6093,179,0.9227,179,0.4632,156,1.1756
180,2.702,161,1.8111,180,0.2075,180,1.0399
144,1.5646,174,1.5744,177,0.302,179,1.3113
34,2.2327,175,0.3271,180,0.2816,159,0.8646
180,3.0881,178,0.8319,180,0.2238,172,0.6445
6,0.6049,178,0.3066,174,0.3441,172,1.0298
180,6.6487,179,0.4006,180,0.2665,177,1.3332
144,7.4085,180,1.1723,179,0.2352,172,0.8298
166,2.8257,173,0.4059,176,0.2562,174,0.7652
179,2.5041,174,0.3254,174,0.1971,180,1.2749
172,1.8176,170,0.4158,178,0.3456,177,0.8026
36,2.5157,178,2.071,176,0.307,166,0.8016
84,3.9161,171,0.8128,164,0.2911,171,1.3639
160,2.057,173,0.9693,180,0.3216,176,0.6802
144,10.0442,173,1.1423,178,0.5026,167,1.154
176,2.1341,180,1.4621,178,0.2985,180,1.2212
167,4.2735,176,1.8927,174,0.3363,180,0.6495
176,1.8142,176,2.1774,166,0.2261,160,0.853
58,2.2391,176,2.0723,146,0.6085,152,0.8432
179,2.7408,177,3.0307,180,1.1327,135,0.6483
180,6.2371,178,0.9849,179,0.6292,173,0.9338
59,6.1221,179,1.2664,180,1.2153,169,0.5023
4,0.6262,177,0.7641,179,0.9325,179,0.7356
99,3.8261,179,1.1683,178,0.7044,176,0.7655
9,1.2626,180,0.6548,180,0.6033,180,0.556
162,2.3803,176,0.6644,167,0.5581,178,0.5788
74,1.5979,179,1.5862,171,0.5512,168,0.5022
138,1.8705,180,1.5582,179,0.6026,174,0.5044
178,3.463,172,0.2737,178,0.6383,180,1.0059
129,2.6404,177,1.4524,180,0.5196,176,1.0871
179,1.5541,177,2.6942,180,0.8342,156,0.7808
178,4.9046,177,1.1988,158,0.5702,151,1.6021
55,2.8828,177,2.9766,155,0.6039,164,0.9395
79,1.9994,179,0.5586,179,0.5866,173,0.4631
6,1.4578,168,0.5042,178,0.5284,161,0.7159
148,6.9381,180,0.4239,179,0.6947,165,0.5292
144,3.0978,171,0.6959,179,2.1727,129,0.6065
113,2.68,179,2.0613,177,1.9567,158,0.5729
83,2.2754,179,0.3889,179,2.5779,93,1.3289
169,6.096,172,1.5569,180,1.6286,147,0.5628
168,4.0629,176,0.5232,178,1.4557,162,0.76
171,1.7158,175,0.4979,171,1.5182,101,0.66
4,2.4704,172,0.8672,179,1.2427,117,0.7824
179,2.8424,176,0.3713,115,1.2073,147,0.5734
178,1.7441,178,0.8399,176,1.9001,153,0.8082
176,2.3788,179,1.6259,180,0.9056,171,0.5949
179,2.8953,170,1.853,175,1.0913,173,0.773
8,1.8117,167,2.7174,179,1.5048,153,0.8153
165,1.5753,178,1.057,177,1.5819,157,0.3809
61,6.0465,176,1.1892,171,0.8102,164,0.2867
5,0.7695,179,0.8783,172,0.9398,180,0.2373
178,4.4244,175,0.8766,180,1.0941,164,0.4626
157,4.7601,177,1.4815,179,0.9467,169,0.4721
66,8.3388,149,1.2659,179,0.9545,176,0.2919
